NA_ANIMAL,NA_ID,Loc,Sohlenbrei,NAT1,REST1,STAU1,Breaks_Dis
Alena,130244,0,6,1,0,0,667.1574
Alena,130244,0,6,1,0,0,731.9059
Alena,130245,0,6,1,0,0,10.9561
Alena,130245,0,7,1,0,0,133.6719
Alena,130245,0,7,1,0,0,221.487
Alena,130245,0,6,1,0,0,26.6547
Alena,130245,0,6,1,0,0,489.6267
Alena,130245,0,7,1,0,0,492.684
Alena,130245,0,6,1,0,0,531.2767
Alena,130245,0,7,1,0,0,663.852
Alena,130245,0,6,1,0,0,73.3827
Alena,130246,0,7,1,0,0,104.2456
Alena,130246,0,7,1,0,0,142.8964
Alena,130246,0,7,1,0,0,18.0103
Alena,130246,0,7,0,1,0,377.2867
Alena,130246,0,7,1,0,0,446.2818
Alena,130246,0,7,1,0,0,465.2944
Alena,130246,0,7,1,0,0,68.9614
Alena,130246,0,6,1,0,0,829.785
Alena,130246,0,7,1,0,0,849.8853
Alena,130247,0,6,1,0,0,137.4778
Alena,130247,0,6,1,0,0,18.4956
Alena,130247,0,6,1,0,0,201.5182
Alena,130247,0,6,1,0,0,248.6768
Alena,130247,0,6,1,0,0,26.4499
Alena,130247,0,6,1,0,0,472.628
Alena,130247,0,6,1,0,0,528.7451
Alena,130247,0,6,1,0,0,56.7499
Alena,130247,0,6,1,0,0,76.0044
Alena,130248,0,6,1,0,0,1328.5303
Alena,130248,0,6,1,0,0,155.565
Alena,130248,0,8,1,0,0,254.7511
Alena,130248,0,8,1,0,0,260.8122
Alena,130248,0,6,1,0,0,308.7644
Alena,130248,0,6,1,0,0,498.3537
Alena,130248,0,6,1,0,0,562.8951
Alena,130248,0,6,1,0,0,567.5297
Alena,130248,0,6,1,0,0,723.314
Alena,130249,0,6,1,0,0,146.1234
Alena,130249,0,6,1,0,0,23.1915
Alena,130249,0,8,1,0,0,240.1655
Alena,130249,0,6,1,0,0,44.9602
Alena,130249,0,3,1,0,0,464.7259
Alena,130249,0,7,1,0,0,650.1581
Alena,130249,0,6,1,0,0,76.4813
Alena,130249,0,6,1,0,0,80.7799
Alena,130249,0,6,1,0,0,84.7901
Alena,130250,0,6,1,0,0,1681.5801
Alena,130250,0,6,1,0,0,216.2977
Alena,130250,0,6,1,0,0,273.0098
Alena,130250,0,4,1,0,0,333.4418
Alena,130250,0,4,1,0,0,357.5408
Alena,130250,0,4,1,0,0,42.0894
Alena,130250,0,6,1,0,0,465.1799
Alena,130250,0,6,1,0,0,667.5015
Alena,130250,0,4,1,0,0,74.9842
Alena,130251,0,4,1,0,0,108.167
Alena,130251,0,4,1,0,0,18.3833
Alena,130251,0,3,1,0,0,215.5843
Alena,130251,0,3,1,0,0,309.1252
Alena,130251,0,3,1,0,0,316.6657
Alena,130251,0,4,1,0,0,444.2844
Alena,130251,0,6,1,0,0,474.7308
Alena,130251,0,4,1,0,0,61.8231
Alena,130251,0,4,1,0,0,75.9744
Alena,130265,0,4,1,0,0,18.8935
Alena,130265,0,3,1,0,0,180.9312
Alena,130265,0,3,1,0,0,308.2827
Alena,130265,0,4,1,0,0,327.3326
Alena,130265,0,4,1,0,0,356.9928
Alena,130265,0,4,1,0,0,374.1433
Alena,130265,0,4,1,0,0,391.0519
Alena,130265,0,4,1,0,0,441.2315
Alena,130265,0,4,1,0,0,83.4749
Alena,130266,0,3,1,0,0,107.4853
Alena,130266,0,3,1,0,0,118.7875
Alena,130266,0,7,1,0,0,2088.4876
Alena,130266,0,4,1,0,0,344.0722
Alena,130266,0,6,1,0,0,370.7199
Alena,130266,0,6,1,0,0,377.3701
Alena,130266,0,6,1,0,0,646.2277
Alena,130266,0,6,1,0,0,730.6517
Alena,130266,0,4,1,0,0,99.256
Alena,130267,0,7,1,0,0,271.8538
Alena,130267,0,7,1,0,0,321.9708
Alena,130267,0,6,1,0,0,322.3257
Alena,130267,0,6,1,0,0,373.6045
Alena,130267,0,6,1,0,0,407.6459
Alena,130267,0,6,1,0,0,462.2201
Alena,130267,0,6,1,0,0,536.7154
Alena,130267,0,6,1,0,0,58.195
Alena,130267,0,4,1,0,0,812.0278
Alena,130276,0,6,1,0,0,12.1151
Alena,130276,0,6,1,0,0,144.6814
Alena,130276,0,6,1,0,0,156.1665
Alena,130276,0,6,1,0,0,22.8309
Alena,130276,0,6,1,0,0,274.4911
Alena,130276,0,6,1,0,0,275.098
Alena,130276,0,6,1,0,0,30.3625
Alena,130276,0,4,1,0,0,568.633
Alena,130276,0,4,1,0,0,884.1598
Alena,130277,0,6,1,0,0,1.3251
Alena,130277,0,7,1,0,0,1076.204
Alena,130277,0,6,1,0,0,157.265
Alena,130277,0,6,1,0,0,18.8407
Alena,130277,0,6,1,0,0,217.3436
Alena,130277,0,6,1,0,0,307.0122
Alena,130277,0,6,1,0,0,52.2434
Alena,130277,0,6,1,0,0,68.287
Alena,130277,0,7,1,0,0,758.2542
Alena,130278,0,7,1,0,0,1.4421
Alena,130278,0,7,1,0,0,110.4783
Alena,130278,0,7,1,0,0,128.5613
Alena,130278,0,7,1,0,0,130.1909
Alena,130278,0,7,1,0,0,264.4339
Alena,130278,0,7,1,0,0,315.3724
Alena,130278,0,7,1,0,0,415.7993
Alena,130278,0,7,1,0,0,47.7095
Alena,130278,0,7,1,0,0,7.177
Alena,130279,0,7,1,0,0,122.5422
Alena,130279,0,7,1,0,0,124.7903
Alena,130279,0,7,1,0,0,164.383
Alena,130279,0,7,1,0,0,248.0159
Alena,130279,0,7,1,0,0,293.8696
Alena,130279,0,7,1,0,0,329.5035
Alena,130279,0,7,1,0,0,45.4899
Alena,130279,0,7,0,1,0,731.9059
Alena,130279,0,7,1,0,0,945.5115
Alena,130280,0,7,1,0,0,111.8379
Alena,130280,0,7,1,0,0,120.0593
Alena,130280,0,7,1,0,0,158.3722
Alena,130280,0,7,0,0,1,168.9385
Alena,130280,0,7,1,0,0,183.9541
Alena,130280,0,7,1,0,0,314.8535
Alena,130280,0,7,1,0,0,347.0196
Alena,130280,0,7,1,0,0,512.5255
Alena,130280,0,7,1,0,0,70.4496
Alena,130281,0,7,1,0,0,119.618
Alena,130281,0,6,1,0,0,196.61
